"","seqn","sddsrvyr","ridstatr","riagendr","ridageyr","ridreth1","ridexmon","dmdcitzn","dmdeduc2","dmdmartl","sialang","siaproxy","siaintrp","fialang","fiaproxy","fiaintrp","mialang","miaproxy","miaintrp","dmdhhsiz","dmdfmsiz","dmdhrgnd","dmdhrage","dmdhredu","dmdhrmar","wtint2yr","wtmec2yr","sdmvpsu","sdmvstra","indhhin2","indfmin2","indfmpir","year"
"1",51624,6,2,1,34,3,1,1,3,1,1,2,2,1,2,2,1,2,2,4,4,1,34,3,1,80100.543512,81528.772006,1,83,6,6,1.36,"2009-2010"
"5",51628,6,2,2,60,4,2,1,3,2,1,2,2,1,2,2,1,2,2,2,2,2,60,3,2,20090.339256,21000.338724,2,75,3,3,0.69,"2009-2010"
"6",51629,6,2,1,26,1,1,1,2,1,1,2,2,1,2,2,1,2,2,5,5,2,57,2,3,22537.826997,22633.581873,1,88,6,6,1.01,"2009-2010"
"7",51630,6,2,2,49,3,1,1,4,6,1,2,2,1,2,2,1,2,2,3,3,2,49,4,6,74212.269993,74112.486841,2,85,7,7,1.91,"2009-2010"
"24",51647,6,2,2,45,3,2,1,5,1,1,2,2,1,2,2,1,2,2,2,2,1,48,5,1,86635.796639,89078.480785,2,78,14,14,5,"2009-2010"
"25",51648,6,2,1,28,1,2,2,1,5,2,2,2,1,2,2,2,2,2,7,1,2,46,1,1,23137.127541,22547.347513,1,76,3,1,0.09,"2009-2010"
"30",51653,6,2,1,44,3,2,1,3,3,1,2,2,1,2,2,1,2,2,1,1,1,44,3,3,90639.846079,93833.198076,2,79,8,8,4.43,"2009-2010"
"31",51654,6,2,1,66,3,1,1,4,1,1,2,2,1,2,2,1,2,2,2,2,1,66,4,1,56052.778153,55670.350052,2,86,6,6,2.2,"2009-2010"
"32",51655,6,2,2,49,1,1,2,1,1,2,2,2,2,2,2,2,2,2,4,4,2,40,3,6,18366.596441,18929.8553,1,82,6,6,1.45,"2009-2010"
"33",51656,6,2,1,58,3,2,1,5,3,1,2,2,1,2,2,1,2,2,3,3,1,58,5,3,99572.381021,101200.947582,2,77,15,15,5,"2009-2010"
