"","seqn","sddsrvyr","ridstatr","riagendr","ridageyr","ridreth1","ridexmon","dmdcitzn","dmdeduc2","dmdmartl","sialang","siaproxy","siaintrp","fialang","fiaproxy","fiaintrp","mialang","miaproxy","miaintrp","dmdhhsiz","dmdfmsiz","dmdhrgnd","dmdhrage","dmdhredu","dmdhrmar","wtint2yr","wtmec2yr","sdmvpsu","sdmvstra","indhhin2","indfmin2","indfmpir","year"
"3",41477,5,2,1,71,3,2,1,3,1,1,2,2,1,2,2,1,2,2,2,2,1,71,3,1,9935.266183,10074.150074,1,67,5,5,1.5,"2007-2008"
"5",41479,5,2,1,52,1,1,1,1,1,2,2,2,1,2,2,2,2,2,5,5,1,52,1,1,8727.797555,9234.055759,1,70,8,8,2.2,"2007-2008"
"11",41485,5,2,2,30,2,1,1,2,1,2,2,2,2,2,2,2,2,2,5,5,2,30,2,1,19055.79006,18849.664396,2,71,6,6,1.01,"2007-2008"
"12",41486,5,2,2,61,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,1,67,1,1,5155.13885,5436.2409,1,73,6,6,1.75,"2007-2008"
"15",41489,5,2,2,40,1,1,1,3,1,1,2,2,1,2,2,1,2,2,3,3,2,40,3,1,25274.173117,25651.32401,1,66,7,7,2.15,"2007-2008"
"16",41490,5,2,2,66,4,2,1,4,1,1,2,2,1,2,2,1,2,2,2,2,1,67,3,1,10371.465529,10026.335937,1,63,9,9,4.09,"2007-2008"
"18",41492,5,2,1,72,3,2,1,1,1,1,2,2,1,2,2,1,2,2,2,2,2,68,3,1,7782.35425,8620.700311,1,62,3,3,1.02,"2007-2008"
"20",41494,5,2,1,40,1,1,2,3,1,2,2,2,2,2,2,2,2,2,6,6,1,40,3,1,14685.352512,14950.795292,1,65,7,7,1.3,"2007-2008"
"21",41495,5,2,1,61,3,1,1,5,1,1,2,2,1,2,2,1,2,2,2,2,1,61,5,1,64298.044476,80217.462635,2,66,14,14,5,"2007-2008"
"30",41504,5,2,1,63,3,1,1,5,1,1,2,2,1,2,2,1,2,2,2,2,2,59,3,1,55319.990702,54933.708888,1,68,8,8,3.29,"2007-2008"
"35",41509,5,2,1,48,2,1,2,4,1,1,2,2,1,2,2,1,2,2,3,3,1,48,4,1,20950.841248,22468.669764,2,67,5,5,1.14,"2007-2008"
"37",41511,5,2,1,35,1,1,2,5,1,2,2,2,1,2,2,2,2,2,5,5,2,32,3,1,21807.732796,22510.525888,1,65,15,15,5,"2007-2008"
"44",41518,5,2,1,50,3,2,1,5,1,1,2,2,1,2,2,1,2,2,2,2,2,51,5,1,89486.193184,89649.812452,2,60,14,14,5,"2007-2008"
"45",41519,5,2,1,70,4,1,1,3,1,1,2,2,1,2,2,1,2,2,3,3,2,72,4,1,10810.227513,11057.772773,1,68,7,7,2.04,"2007-2008"
"48",41522,5,2,1,72,3,1,2,4,1,1,2,2,1,2,2,1,2,2,2,2,1,72,4,1,10561.922943,10847.196379,2,72,4,4,1.21,"2007-2008"
"49",41523,5,2,1,28,4,1,1,3,1,1,2,2,1,2,2,1,2,2,4,4,1,28,3,1,39144.202353,39647.318256,2,65,14,14,4.48,"2007-2008"
"51",41525,5,2,1,51,4,1,1,3,1,1,2,2,1,2,2,1,2,2,3,3,2,50,3,1,20000.257493,19889.421444,2,68,8,8,2.84,"2007-2008"
"53",41527,5,2,1,44,3,2,1,3,1,1,2,2,1,2,2,1,2,2,3,3,1,44,3,1,22505.36051,22501.080152,1,60,3,3,0.82,"2007-2008"
"57",41531,5,2,1,43,2,2,1,2,1,1,2,2,1,2,2,1,2,2,5,5,1,43,2,1,23869.578891,24716.794479,2,61,8,8,1.81,"2007-2008"
"67",41541,5,2,2,43,3,2,1,5,1,1,2,2,1,2,2,1,2,2,4,4,1,50,5,1,97373.946729,99236.780996,2,63,15,15,4.72,"2007-2008"
"73",41547,5,2,1,49,3,2,1,4,1,1,2,2,1,2,2,1,2,2,2,2,1,49,4,1,93473.601614,93455.823604,1,60,9,9,4.24,"2007-2008"
"82",41556,5,2,1,38,3,2,1,2,1,1,2,2,1,2,2,1,2,2,5,5,1,38,2,1,23077.546253,23260.828945,1,61,6,6,1.24,"2007-2008"
"93",41567,5,2,1,51,2,1,2,4,1,2,2,2,1,2,2,2,2,2,2,2,2,70,5,1,12250.082775,13450.09872,1,68,7,7,2.92,"2007-2008"
"99",41573,5,2,2,32,1,1,2,3,1,1,2,2,1,2,2,1,2,2,5,5,2,32,3,1,19055.79006,18849.664396,2,71,7,7,1.69,"2007-2008"
"101",41575,5,2,1,76,1,1,2,1,3,1,2,2,1,2,2,1,2,2,5,5,1,31,3,1,8022.258379,8523.786162,2,71,14,14,3.43,"2007-2008"
"104",41578,5,2,2,67,3,2,1,5,1,1,2,2,1,2,2,1,2,2,2,2,1,75,5,1,59356.356426,60045.772497,1,60,15,15,5,"2007-2008"
"105",41579,5,2,2,71,3,2,1,3,1,1,2,2,1,2,2,1,2,2,2,2,1,73,3,1,55839.5211,55349.090094,2,60,7,7,3,"2007-2008"
"115",41589,5,2,1,76,1,1,1,5,1,1,2,2,1,2,2,1,2,2,2,2,2,76,4,1,10840.502033,11038.83107,1,66,4,4,1.4,"2007-2008"
"116",41590,5,2,1,25,1,1,1,4,1,1,2,2,1,2,2,1,2,2,3,3,2,26,4,1,34633.994166,36982.505581,1,66,7,7,2.33,"2007-2008"
"125",41599,5,2,2,52,2,2,1,4,1,1,2,2,1,2,2,1,2,2,4,4,1,58,3,1,18454.554829,18729.940765,2,65,9,9,2.64,"2007-2008"
"131",41605,5,2,2,36,3,2,1,4,1,1,2,2,1,2,2,1,2,2,5,5,2,36,4,1,30711.436339,30723.814105,2,59,4,4,0.6,"2007-2008"
"133",41607,5,2,2,46,3,2,1,3,1,1,2,2,1,2,2,1,2,2,3,3,1,49,3,1,82333.450298,85620.508376,2,64,14,14,5,"2007-2008"
"144",41618,5,2,2,46,3,2,1,4,1,1,2,2,1,2,2,1,2,2,3,3,1,44,4,1,82333.450298,85620.508376,2,64,14,14,5,"2007-2008"
"145",41619,5,2,1,20,1,2,1,2,5,2,2,2,2,2,2,1,2,2,5,5,2,40,1,1,21719.93559,22393.592918,1,62,4,4,0.62,"2007-2008"
"148",41622,5,2,2,41,3,2,1,3,1,1,2,2,1,2,2,1,2,2,5,5,2,41,3,1,30055.17538,29840.2367,1,61,6,6,1.04,"2007-2008"
"149",41623,5,2,1,29,4,1,1,5,1,1,2,2,1,2,2,1,2,2,3,3,1,29,5,1,27307.200629,27658.176919,1,68,8,8,2.91,"2007-2008"
"150",41624,5,2,2,68,2,1,1,1,1,1,2,2,1,2,2,1,2,2,2,2,1,68,1,1,7277.593295,7674.429627,2,66,7,7,2.71,"2007-2008"
"174",41648,5,2,1,58,3,2,1,3,1,1,2,2,1,2,2,1,2,2,2,2,1,58,3,1,104240.230169,104430.826165,2,61,14,14,5,"2007-2008"
"178",41652,5,2,2,70,5,1,1,5,1,1,2,2,1,2,2,1,2,2,2,2,1,71,5,1,39806.315534,40952.531203,2,67,8,8,3.21,"2007-2008"
"189",41663,5,2,2,32,1,1,1,2,1,2,2,2,2,2,2,1,2,2,3,3,1,37,2,1,25990.375386,26403.704902,1,66,6,6,1.57,"2007-2008"
"194",41668,5,2,1,66,4,2,1,5,1,1,2,2,1,2,2,1,2,2,3,2,1,66,5,1,6004.535599,6082.458728,2,62,15,15,5,"2007-2008"
"198",41672,5,2,2,63,1,1,1,2,1,1,2,2,1,2,2,1,2,2,3,3,2,63,2,1,8427.714776,9110.641805,2,70,8,8,2.56,"2007-2008"
"209",41683,5,2,1,72,3,2,1,4,1,1,2,2,1,2,2,1,2,2,3,3,1,72,4,1,31044.240133,31882.733001,2,62,15,15,5,"2007-2008"
"211",41685,5,2,1,25,3,2,1,3,5,1,2,2,1,2,2,1,2,2,5,5,2,49,4,1,44570.588615,44342.529836,1,61,5,5,0.94,"2007-2008"
"214",41688,5,2,1,49,3,2,1,2,1,1,2,2,1,2,2,1,2,2,2,2,2,49,2,1,28803.804675,31602.188917,1,67,6,6,1.9,"2007-2008"
"216",41690,5,2,1,52,1,2,1,5,1,2,2,2,1,2,2,1,2,2,3,3,2,52,5,1,17560.193207,18832.378972,2,65,15,15,5,"2007-2008"
"217",41691,5,2,1,60,3,2,1,3,1,1,2,2,1,2,2,1,2,2,2,2,1,60,3,1,53088.2953,51939.933025,2,63,14,14,5,"2007-2008"
"231",41705,5,2,1,62,4,2,1,3,1,1,2,2,1,2,2,1,2,2,6,5,1,62,3,1,8567.88471,8297.073173,2,59,9,9,2.42,"2007-2008"
"237",41711,5,2,2,73,3,2,1,3,1,1,2,2,1,2,2,1,2,2,2,2,2,73,3,1,44933.414348,48737.532366,1,71,8,8,3.65,"2007-2008"
"239",41713,5,2,1,42,3,2,1,4,1,1,2,2,1,2,2,1,2,2,3,3,2,44,3,1,22505.36051,22501.080152,1,60,5,5,1.28,"2007-2008"
"241",41715,5,2,2,74,3,2,1,3,1,1,2,2,1,2,2,1,2,2,2,2,1,77,4,1,29571.572974,28867.392056,1,62,5,5,1.46,"2007-2008"
"243",41717,5,2,2,72,3,2,1,2,1,1,2,2,1,2,2,1,2,2,2,2,2,72,2,1,33715.313253,32773.269768,1,67,6,6,2.34,"2007-2008"
"247",41721,5,2,1,37,3,2,1,2,1,1,2,2,1,2,2,1,2,2,3,3,1,37,2,1,22782.557363,22963.497243,1,64,3,3,0.84,"2007-2008"
"254",41728,5,2,2,47,3,1,1,5,1,1,2,2,1,2,2,1,2,2,4,4,2,47,5,1,143385.980606,147472.718829,2,65,15,15,5,"2007-2008"
"261",41735,5,2,2,64,3,2,1,5,1,1,2,2,1,2,2,1,2,2,2,2,2,64,5,1,67933.991412,70814.008943,2,62,15,15,5,"2007-2008"
"280",41754,5,2,1,32,3,2,1,2,1,1,2,2,1,2,2,1,2,2,4,4,2,32,2,1,24294.622036,27225.407194,2,63,14,14,3.77,"2007-2008"
"282",41756,5,2,2,60,1,1,2,1,1,2,2,2,2,2,2,2,2,2,3,3,1,59,5,1,8498.114173,8961.503693,2,65,7,7,2.27,"2007-2008"
"285",41759,5,2,1,41,3,2,1,2,1,1,2,2,1,2,2,1,2,2,5,5,1,41,2,1,26649.742954,26644.674363,2,59,6,6,1.01,"2007-2008"
"287",41761,5,2,2,54,3,1,1,5,1,1,2,2,1,2,2,1,2,2,4,4,1,53,5,1,116947.251222,117393.474332,2,70,15,15,5,"2007-2008"
"290",41764,5,2,1,54,3,2,1,5,1,1,2,2,1,2,2,1,2,2,4,4,2,49,5,1,63806.113335,63922.778367,1,60,15,15,4.84,"2007-2008"
"294",41768,5,2,2,57,1,1,1,5,1,1,2,2,1,2,2,1,2,2,3,3,1,56,5,1,11163.525083,11330.11148,1,65,15,15,5,"2007-2008"
"302",41776,5,2,2,48,1,1,1,4,1,1,2,2,1,2,2,1,2,2,2,2,2,48,4,1,20002.446998,21694.302536,2,71,5,5,1.64,"2007-2008"
"308",41782,5,2,1,66,3,2,1,3,1,1,2,2,1,2,2,1,2,2,2,2,1,66,3,1,46864.678897,47353.391877,1,61,9,9,4.38,"2007-2008"
"317",41791,5,2,1,78,3,2,1,2,1,1,2,2,1,2,2,1,2,2,2,2,1,78,2,1,28153.114415,27640.921197,1,67,7,7,2.56,"2007-2008"
"320",41794,5,2,1,44,3,2,1,3,1,1,2,2,1,2,2,1,2,2,2,2,2,47,1,1,30828.748341,31916.008289,1,61,5,5,1.61,"2007-2008"
"323",41797,5,2,1,69,3,2,1,3,1,1,2,2,1,2,2,1,2,2,3,3,1,69,3,1,50123.664304,50005.945699,1,60,7,7,2.08,"2007-2008"
"328",41802,5,2,2,30,3,2,1,3,1,1,2,2,1,2,2,1,2,2,5,5,1,32,2,1,76791.577847,76822.527495,2,60,10,10,2.82,"2007-2008"
"334",41808,5,2,2,68,3,2,1,3,1,1,2,2,1,2,2,1,2,2,2,2,2,68,3,1,59356.356426,60045.772497,1,60,8,8,3.65,"2007-2008"
"348",41822,5,2,1,21,2,1,1,4,5,1,2,2,1,2,2,1,2,2,5,5,1,52,4,1,25783.838108,27161.468785,2,71,10,10,2.82,"2007-2008"
"353",41827,5,2,1,78,3,2,1,5,1,1,2,2,1,2,2,1,2,2,2,2,1,78,5,1,28004.102782,27494.620552,1,63,9,9,4.38,"2007-2008"
"360",41834,5,2,1,43,3,1,1,5,1,1,2,2,1,2,2,1,2,2,3,3,1,43,5,1,75479.639785,78103.146596,1,70,15,15,5,"2007-2008"
"366",41840,5,2,2,75,3,2,1,2,1,1,2,2,1,2,2,1,2,2,2,2,2,75,2,1,36091.211725,38635.430349,2,63,4,4,1.2,"2007-2008"
"378",41852,5,2,1,65,3,1,1,3,1,1,2,2,1,2,2,1,2,2,2,2,1,65,3,1,19360.587762,19562.483321,2,59,6,6,1.79,"2007-2008"
"383",41857,5,2,2,30,3,2,1,4,1,1,2,2,1,2,2,1,2,2,5,5,1,37,3,1,79010.525078,80125.79492,2,62,15,15,4.84,"2007-2008"
"391",41865,5,2,1,76,4,1,1,5,1,1,2,2,1,2,2,1,2,2,2,2,2,72,5,1,8434.921462,10618.758605,2,69,15,15,5,"2007-2008"
